"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"6616","Sleeping Beauty","Jun 29, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tize Game Studio","Tize Game Studio"
"6618","Survive the West","Jun 22, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Deverinos","Deverinos"
"6619","HOT GIRLS VR","Oct 26, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","tomimar","tomimar"
"6620","Heavy Destinies","Nov 1, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MarksApp","MarksApp"
"6621","Alive 2 Survive: Tales from the Zombie Apocalypse","Oct 10, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jamopolis","Jamopolis"
"6622","Ludoria","Mar 3, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eminent Softworks","Eminent Softworks"
"6623","Delude - Succubus Prison","Aug 1, 2017","$0.28","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Halissoni","Droid Riot"
"6624","Diablo_IslanD 暗黑破坏岛","Sep 26, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Victor Studio","Victor Studio"
"6625","GHD","Sep 17, 2021","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team SWAT","Team SWAT"
"6626","Shiny Gauntlet","Oct 1, 2015","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Spritewrench","Spritewrench"
"6627","Dawn of Warriors","Oct 7, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Flame Spirit Software Studio","Conch Entertainment Corporation"
"6628","Simple Man","Mar 12, 2018","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CSM","W.T.B."
"6629","Nightmare Game (噩梦游戏)","Jul 19, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","两拳漫画","Saca Games"
"6630","Heroes Arena","May 18, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Victor Corradi","Corradi Games"
"6631","The Glow","Dec 10, 2015","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brainwashing games","Brainwashing games"
"6632","Archangel","Jul 1, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Frogames","Juan Gabriel Gomila, Benjamin Miró"
"6634","Missing Plane: Survival","Feb 7, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SU Games","SU Games"
"6635","Planetes","Aug 28, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","New Orbit Games","New Orbit Games"
"6636","Imperatum","Jul 16, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pro Social Games","Pro Social Games"
"6637","★ Fallalypse ★ Death or Cress ♝","Feb 6, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede, Fallalypse studio","Hede"
"6638","Quiet Sleep","May 3, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","White tail","White tail"
"6639","EnchantedGirl - 纯情房东俏房客","Feb 4, 2019","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shenzhen zhengyilong technology co. LTD.","Shenzhen zhengyilong technology co. LTD."
"6641","You Are Not The Hero","Jun 2, 2015","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ToMorning Productions","ToMorning Productions"
"6642","Abermore","Mar 29, 2022","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Four Circle Interactive","Fireshine Games"
"6643","Silver Island","Mar 28, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jeremy Sebastiano, Matt Maurer","Monkeys With Keyboards"
"6644","Exatron Quest L'Epée de Sang","May 14, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pillet Michael","Studio Pillet"
"6645","Border closure 边境封闭","Jun 3, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","边境巡线人","边境巡线人"
"6646","Atomic Heist","Apr 19, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Live Aliens","Live Aliens"
"6647","Distress: A Choice-Driven Sci-Fi Adventure","Aug 22, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Light Machine","Light Machine"
"6648","Snow Ash Land","Nov 27, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Faust","Hope"
"6650","Dungeons of Legend: Cast Within","Feb 22, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dungeon Brick Studios","Dungeon Brick Studios"
"6651","The Elementalist","May 27, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zack Radick","Zack Radick"
"6652","Der Geisterturm / The Ghost Tower","Jan 23, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Graverobber Foundation","Graverobber Foundation"
"6654","The Count of Monte Carlo","Oct 26, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Phil Blank","Phil Blank"
"6655","Pebble Witch","Dec 13, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fuzzy Ghost","Fuzzy Ghost"
"6656","Hazordhu","Mar 26, 2021","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","F0lak","F0lak"
"6657","Faraway Qualia","May 17, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nyahhoiya","Nyahhoiya"
"6658","The Village","Jul 31, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VW","VW"
"6659","Der Geisterjäger / The Ghost Hunter","Aug 26, 2021","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Graverobber Foundation","Graverobber Foundation"
"6660","TRIBAL ""The 12 Gates""","Apr 13, 2022","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tribal.Games","Digital Media One, Clan Corrallo Studios"
"6661","Puzzle Battler! Mirai","Apr 20, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wandering Wonder Studio","Wandering Wonder Studio"
"6662","Alder Forge","Jan 7, 2022","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zine FALOUTI","Zine FALOUTI"
"6663","Thomas' Tales","Jun 16, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Toodoo Studio LLC","Toodoo Studio LLC"
"6664","Legend of Radiance","Mar 3, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dark Swamp Studios","Dark Swamp Studios"
"6665","Sand: A Superfluous Game","Sep 29, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Voided Pixels Studio","Voided Pixels Studio"
"6666","Elite School Roof Club","Mar 27, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MJD Team","MJD Team"
"6667","Dungeons & Dragons - Al-Qadim: The Genie's Curse","Mar 29, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cyberlore Studios","SNEG"
"6668","John Christian 2","Jun 14, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Carlos Martins","Carlos Martins - Blue Crab"
"6669","FACTOR D","May 23, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jose Omar Carrizo","Jose Omar Carrizo"
"6671","Omega Squad","Jul 1, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AstroMonkey","AstroMonkey"
"6672","流星降临的小镇：来自过去的幽灵","Jul 26, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BlueBirdStory","BlueBirdStory"
"6673","Unreal Vendetta","Sep 3, 2022","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Max Pedro","Max Pedro"
"6674","Step Journey","Sep 9, 2022","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Steel Thunder","Steel Thunder"
"6675","The Siege of Brimir","Oct 27, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anden Studios","Anden Studios"
"6676","Morrow","Oct 21, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boydem Studios","Boydem Studios"
"6677","铭日记 重书 / Mikoto Remake","Nov 26, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CHARON","Pujia8 Studio"
"6678","Epic Flail","Nov 1, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Noxus Limited","Noxus Limited"
"6679","Brave Path","Jul 26, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GooDCrafter","GooDCrafter"
"6681","Fates 8 Stories (F8S)","Feb 5, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Horizon Psytech & Games","Gabriele Barone, Giacomo Garcea"
"6683","涅槃之路","Apr 4, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","xia","xia"
"6684","Crisis of the Middle Ages","May 29, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OrgAction LLC","OrgAction LLC"
"6685","Snares of Ruin 2","Jul 26, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Astronomic Games","Astronomic Games"
"6686","Psy High 2: High Summer","Aug 15, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6687","Corpoct","Sep 20, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolderado, Belaniax","TwoBros"
"6688","The Walsingham Files - Chapter 2","Dec 12, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sapphire Dragon Productions","Sapphire Dragon Productions"
"6689","Life of a Mercenary","Dec 27, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hosted Games","Hosted Games"
"6690","Unlord","Jun 1, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kvisaz Games","Kvisaz Games"
"6692","Dungeon Throne","Aug 10, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Martín Maestri Martinez","Martín Maestri Martinez"
"6693","Frontier Quest","Jan 28, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stellar Advent Pty Ltd","Stellar Advent Pty Ltd"
"6694","Rugida","Feb 26, 2021","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AIHASTO","AIHASTO"
"6695","The Play's the Thing","Aug 26, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6696","GridlessDB","Aug 24, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","radmatt","radmatt"
"6698","Academy Quest | アカデミークエスト","Oct 8, 2021","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","つれづれ","つれづれ"
"6699","Japanese DoJo","Feb 2, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VAKMANS Studio","VAKMANS"
"6702","Epic Astro Story","Oct 10, 2022","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd"
"6703","Cocktail Rush","Nov 9, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crooked Road","Piece Of Voxel"
"6704","The Cryptkeepers of Hallowford","Dec 22, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6705","Bleeding Sun","Jul 14, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jaime Paz Lopes","Jaime Paz Lopes"
"6706","The Legend of Monster Mountain","Sep 7, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","YOUGAKE","YOUGAKE"
"6707","DinoKnights","Aug 22, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6708","Pix Tower","Feb 11, 2019","$1.29","N/A (N/A)","0 .. 20,000","00:00 (00:00)","meokigame","meokigame"
"6709","LeonWaan MineSweeper","Feb 8, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LeonWaan Games","LeonWaan Games"
"6710","Tenebrous Dungeon","Feb 27, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Apathus Software","Apathus Software"
"6711","Deep Dungeon: Gym","May 5, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NORSKA","NORSKA"
"6712","Project Wasteland: The Mythiclands","Oct 14, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chris Nicholson","White Fence Games LLC"
"6713","Empire Live","May 15, 2020","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Osmose Studio","Osmose Studio"
"6714","Dungeon of Trials","Jun 25, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sardinha Studios","Sardinha Studios"
"6718","Witchaven II: Blood Vengeance","Jun 17, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Capstone Software","SNEG"
"6719","Shadow Madness","Feb 15, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crave","Piko Interactive LLC, Bleem!"
"6720","Undarkened","Mar 30, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Colin Stoddart","Colin Stoddart"
"6721","VR Dunhuang","Jan 9, 2018","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beijing Gravitational Waves VR technology co.,LTD","Beijing Gravitational Waves VR technology co.,LTD"
"6722","Amethlion","Aug 27, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dynamic zero","Dynamic zero"
"6723","Sokoban: The RPG","Sep 6, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mike Daas","Mike Daas"
"6724","雪·疑 Sknow","May 19, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","泥亾","泥亾"
"6725","ZLM Crafter","Oct 31, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WONG KWAN CHI","ZLM Crafter - Game Team"
"6726","Heroes Of Avranche","Dec 2, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kumova Slama","Kumova Slama"
"6727","Underneath","Dec 30, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NORSKA","NORSKA"
"6729","Squares Rage","Oct 23, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AjayMadeThis, Ajay Arora Games","Ajay Arora Games, Ajay Arora"
"6731","Skautfold: Knight's End","Dec 26, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Steve Gal","Pugware"
"6732","Escape from Cronos X","Mar 15, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Request Logic","Request Logic AS (Ltd)"
"6733","Heart of Battle","Aug 18, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Heart's Choice","Heart's Choice"
"6734","The Otherwilde","Jun 1, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brass Persimmon","Brass Persimmon"
"6736","Metal Assault","Mar 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","bitBerg","Newsight Games/bitBerg"
"6737","Coffee Crawl","Mar 21, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vectorinox","Vectorinox"
"6738","The Nature","Sep 26, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Unphysical Machinery","Unphysical Machinery"
"6739","GACHIMUCHI The Card Game","Mar 7, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","M♂NLY","M♂NLY"
"6740","Era of Miracles","Oct 2, 2019","$0.28","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Seaborgium Entertainment","Seaborgium Entertainment, khukhrovr"
"6741","Start! Heart Thief | 出发吧！偷心盗贼 | 出撃! ルビー | 出擊！偷心盜賊","May 1, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Star & Moon Romance","Star & Moon Romance"
"6742","Otaku Club","Mar 24, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","玫瑰工作室","玫瑰工作室"
"6744","The Dragon and the Djinn","Jul 28, 2022","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6745","Quote","Jan 31, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vindit","Vindit"
"6746","Story of the Survivor : Prisoner","Sep 20, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kamil Szczepanik","Animakemu Games"
"6747","Million Arthur VR: Character Command RPG","Oct 12, 2017","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SQUARE ENIX, GREE, Inc.","Vive Studios"
"6748","President Pig","May 21, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crafty Game Lab","Crafty Game Lab"
"6749","Brass Town Wrestling","Jan 30, 2020","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Empty Teapot","Empty Teapot"
"6750","Fisherman Classic","Apr 23, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LGV","LGV"
"6751","Roman Way","Jul 29, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nyberius","Nyberius"
"6752","Abyss The Forgotten Past","Jan 29, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OWG Studios","OWG Studios"
"6753","Andoran Skye 1.5","Nov 20, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OMAG Official","OMAG Official"
"6754","Vinewing","Nov 7, 2017","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eelooz AB","Eelooz AB"
"6755","ARTé: Mecenas","Jun 6, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Triseum","Triseum"
"6756","Battle Motion","Feb 4, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meadow Games","Meadow Games"
"6758","Record Life","Nov 8, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","创克游戏工作室, 小创","创克游戏联盟"
"6759","486","Jun 1, 2020","$0.28","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jared Hoffa","Jared Hoffa"
"6760","Search","Aug 28, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team_Bug","Team_Bug"
"6761","Atelier Agnes","Dec 16, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AQ organization","WASABI entertainment"
"6762","Legend of Ixtona","Mar 3, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WorldWideSoftware","KEMCO"
"6763","白娘子","May 29, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","金戈兄","金戈兄"
"6764","Divergence: Year Zero","Oct 16, 2016","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stained Glass Llama","Stained Glass Llama"
"6765","Spaceship Commander","May 23, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sokolov Yaroslav Vladimirovich","Sokolov Yaroslav Vladimirovich"
"6766","炎之陨落 The Fallen of The Blaze Empire","Apr 26, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Warthog Studio","Warthog Studio"
"6767","Hogvalord","Dec 27, 2021","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thap Tam Studio","Thap Tam Studio"
"6768","Recapture the Castle","Jun 7, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sky City","Sky City"
"6769","Shadow Watcher","Jan 7, 2022","$4.19","N/A (N/A)","0 .. 20,000","00:00 (00:00)","蓝色魅力","蓝色魅力"
"6771","BE THE HERO","Aug 25, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EXPVR Inc.","EXPVR Inc."
"6772","混乱使者","Feb 27, 2018","$0.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","迷茫的菜鸟","迷茫的菜鸟"
"6773","Zombies In The Forest","Mar 29, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","cmert08","Sergo inc"
"6774","Team-Z","Jun 17, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Friso van Waveren","Extrapolated"
"6775","Ren the Summoner and the Erotic Dungeon","Aug 26, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","藤札","WASABI entertainment"
"6776","Animal Simulator","Aug 25, 2022","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Imperian Online","Imperian Online"
"6777","TEOT - The End OF Tomorrow","Sep 30, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Edsenses Creative Co., Ltd","Edsenses Creative Co., Ltd"
"6779","Choice of the Petal Throne","Apr 10, 2015","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"6780","Of Love And Sorrow","Aug 8, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Niels Bauer Games","Niels Bauer Games"
"6781","EndlessHell","Apr 17, 2019","$1.88","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Virtual Journey Studio","Virtual Journey Studio"
"6782","The World Of Xian","Jun 30, 2020","$18.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cdu Game","Cdu Game"
"6783","Cube Worlds Survival","Sep 16, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PaulArt","PaulArt"
"6784","You Arrive in a Town","Jan 26, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bunny Box Games","Bunny Box Games"
"6785","When Wardens Fall","Aug 15, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Peernet Games","Peernet Games"
"6787","Dead Some Day","Jun 22, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bitporters LTD.","Bitporters LTD."
"6788","Cicadas - The IQA Edition","Oct 7, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","轻文, Pinoco Game, StudioASC","StudioASC"
"6789","Inn Mage","Aug 4, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NaA Games","NaA Games"
"6791","Dead by Death","Jul 18, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WILLSH","WILLSH"
"6792","Me And Dungeons","Jul 6, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fly Troll Studio","Fly Troll Studio"
"6793","Star Phoenix","Nov 24, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blazar Games","Blazar Games"
"6794","BEHIND THESE EYES: A Short Horror Story","Jul 13, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DEEP Games","DEEP Games"
"6795","THE ARCHER: Dead Hunt","Feb 6, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","evlavv_studio","evlavv_studio"
"6796","Space Salvager","Nov 25, 2014","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sam Albon","Sam Albon"
"6797","You, With Me - A Kinetic Novel","Feb 23, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Afterthought Studios","Afterthought Studios"
"6798","CRAFTSMAN","Jun 25, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sweet Games","Sweet Games"
"6799","Sprite Hunter","Dec 17, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MCG","MCG"
"6800","Ascendants Rising","Jun 25, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Limitless Games","Limitless Games"
